postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3594,529,0,1,0,0,0,03/01/2021,04/01/2021
3595,665,0,0,0,0,0,03/01/2021,04/01/2021
3596,96,0,0,0,0,0,03/01/2021,04/01/2021
3597,413,0,0,0,0,0,03/01/2021,04/01/2021
3599,133,0,0,0,0,0,03/01/2021,04/01/2021
3607,136,0,0,0,0,0,03/01/2021,04/01/2021
3608,2417,0,0,0,0,0,03/01/2021,04/01/2021
3610,1714,0,0,0,0,0,03/01/2021,04/01/2021
3612,1708,0,2,0,0,0,03/01/2021,04/01/2021
3614,882,0,2,0,0,0,03/01/2021,04/01/2021
3616,5353,0,3,0,0,0,03/01/2021,04/01/2021
3617,163,0,0,0,0,0,03/01/2021,04/01/2021
3618,675,0,0,0,0,0,03/01/2021,04/01/2021
3620,8241,0,2,0,0,0,03/01/2021,04/01/2021
3621,2368,0,0,0,0,0,03/01/2021,04/01/2021
3622,456,0,1,0,0,0,03/01/2021,04/01/2021
3623,903,0,0,0,0,0,03/01/2021,04/01/2021
3624,558,0,1,0,0,0,03/01/2021,04/01/2021
3629,9130,0,3,0,0,0,03/01/2021,04/01/2021
3630,31266,0,36,0,0,0,03/01/2021,04/01/2021
3631,11610,0,9,0,0,0,03/01/2021,04/01/2021
3632,0,0,0,0,0,0,03/01/2021,04/01/2021
3633,604,0,0,0,0,0,03/01/2021,04/01/2021
3634,1798,0,0,0,0,0,03/01/2021,04/01/2021
3635,536,0,0,0,0,0,03/01/2021,04/01/2021
3636,5241,0,3,0,0,0,03/01/2021,04/01/2021
3637,593,0,0,0,0,0,03/01/2021,04/01/2021
3638,2075,0,2,0,0,0,03/01/2021,04/01/2021
3639,524,0,0,0,0,0,03/01/2021,04/01/2021
